position,side,site,transect,field_id,species,flwrs,infls,lv_stems,dd_stems,stem_d1,stem_d2,cw,cl,ch,notes
5,W,B,1,1,ATP,1,3,2,0,20,20.3,69,64,51,
25,W,B,1,0,AAX,1,NA,NA,NA,19.5,NA,40,54,22,
25,W,B,1,0,AAX,0,NA,NA,NA,6.8,NA,15,26,16,
25,W,B,1,0,AAX,1,NA,NA,NA,4.7,NA,73,67,48,
35,E,B,1,2,ATP,0,0,0,0,3.9,NA,5,11,14,
35,E,B,1,0,AAX,0,NA,NA,NA,3.4,NA,32,31,19,
45,W,B,1,0,AAX,0,NA,NA,NA,4,NA,6,9,16,
55,E,B,1,3,ATP,1,42,1,0,16.5,15.3,32,36,31,
65,W,B,1,4,ATP,0,0,1,1,13.5,NA,25,51,46,
65,W,B,1,5,ATP,1,0,3,1,15,15.5,30,52,56,
65,W,B,1,0,AAX,1,NA,NA,NA,19,NA,45,70,56,
65,W,B,1,6,ATP,0,0,1,0,13.8,16,8,10,19,
65,W,B,1,0,AAX,0,NA,NA,NA,3,NA,11,23,21,
65,W,B,1,7,ATP,1,4,4,1,16.8,14.5,50,59,51,
75,E,B,1,8,ATP,0,0,0,0,1,NA,1.5,1,3.5,
75,E,B,1,9,ATP,0,0,0,0,4.7,NA,10,17,10,
75,E,B,1,10,ATP,0,0,0,0,7,NA,15,30,16,
75,E,B,1,11,ATP,0,0,0,0,0.3,NA,0.5,0.5,2,seedling?
85,W,B,1,12,ATP,0,0,0,0,1,NA,2,2.5,4,
85,W,B,1,0,AAX,0,NA,NA,NA,12.5,NA,20,30,26,
85,W,B,1,0,AAX,0,NA,NA,NA,13.5,NA,27,51,21,
85,W,B,1,0,AAX,0,NA,NA,NA,11.7,NA,5,9,17,
85,W,B,1,13,ATP,0,0,0,0,8,NA,10,15,23,
85,W,B,1,0,AAX,1,NA,NA,NA,13.5,NA,27,37,22,
85,W,B,1,14,ATP,0,0,0,0,3.3,NA,3,4,9,
95,E,B,1,15,ATP,0,0,0,0,1.5,NA,3,3,4,
95,E,B,1,16,ATP,0,0,0,0,3,NA,5,5,6,
95,E,B,1,17,ATP,0,0,0,0,0.2,NA,1,1,2,
95,E,B,1,18,ATP,0,0,0,0,4.5,NA,16,15,16,
95,E,B,1,19,ATP,0,0,0,0,5.5,NA,14,18,27,
95,E,B,1,20,ATP,0,0,0,0,1,NA,2,2,4,
95,E,B,1,21,ATP,0,0,0,0,1.4,NA,2.5,3.5,10,
95,E,B,1,22,ATP,0,0,0,0,1.4,NA,4,4,10,
95,E,B,1,23,ATP,0,0,0,0,1.1,NA,3,4.5,7,
95,E,B,1,24,ATP,0,0,0,0,0.9,NA,1,1,5.5,
95,E,B,1,25,ATP,0,0,0,0,0.3,NA,0.5,0.5,2.5,galls
95,E,B,1,26,ATP,0,0,0,0,0.7,NA,1.5,3.5,4.5,galls
95,E,B,1,27,ATP,0,0,0,0,1.4,NA,1,1.5,3.5,
95,E,B,1,28,ATP,0,0,0,0,1.2,NA,1,2,3.5,
95,E,B,1,29,ATP,0,0,0,0,1.4,NA,0.5,2,4,
95,E,B,1,30,ATP,0,0,0,0,1.4,NA,0.5,1.5,3.5,galls
95,E,B,1,31,ATP,0,0,0,0,1.2,NA,0.5,2,2.5,
95,E,B,1,32,ATP,0,0,0,0,1,NA,0.5,1.5,3,
95,E,B,1,33,ATP,0,0,0,0,0.9,NA,1,1,3,galls
95,E,B,1,34,ATP,0,0,0,0,0.8,NA,0.5,0.5,1.5,
