"site_ID","ATP","ATV","AAX","ele","site","X12T","UTM","lat","lon","us_tmax_19","us_tmin_19","us_ppt_198"
"A",14.8,0,2.56666666666667,1623.7802734375,"A",405150.429381044,4895275.30329,44.204531908,-112.1871281136,1297,-174,31842
"B",15.9,0,5.3,1659.8293457031,"B",408386.988973632,4896797.84862803,44.2186506372,-112.1468938049,1288,-193,33069
"C",7.8,12,0.6,1692.5141601563,"C",407858.392292946,4901677.45882902,44.2625068501,-112.1543685347,1258,-222,37233
"D",10.6,8.3,3.1,1723.2761230469,"D",408243.328540639,4902737.86047668,44.2721004412,-112.149733007,1245,-225,39130
"E",0,23,0,1752.115234375,"E",409306.130432678,4904515.52127767,44.2882349342,-112.1367269754,1218,-232,43019
"F",0.2,18,0,1783.8386230469,"F",407889.689312799,4906059.0735301,44.3019507453,-112.1547489055,1207,-216,42810
"G",0,27.7,0,1798.4985351563,"G",413015.310883727,4904571.49328412,44.2891918961,-112.0902551897,1190,-242,46120
"H",11.8,16.4,0,1755.9604492188,"H",410424.582605809,4903803.17488022,44.2819614988,-112.1225892194,1224,-233,42031
"I",22.4,0,2.2,1702.3674316406,"I",405352.412922024,4902769.33372881,44.272013437,-112.1859549824,1258,-221,36949
"J",0,29.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",10.1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",8.4,15,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",0,30.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
