site,site_no,lat,lon,ele
A,1,44.204531908,-112.1871281136,1623.7802734375
K,2,44.2029751372,-112.1460158005,1641.564453125
B,3,44.2186506372,-112.1468938049,1659.8293457031
C,4,44.2625068501,-112.1543685347,1692.5141601563
I,5,44.272013437,-112.1859549824,1702.3674316406
D,,44.2721004412,-112.149733007,1723.2761230469
L,6,44.2773584928,-112.1489565074,1729.2841796875
E,,44.2882349342,-112.1367269754,1752.115234375
H,7,44.2819614988,-112.1225892194,1755.9604492188
F,,44.3019507453,-112.1547489055,1783.8386230469
G,8,44.2891918961,-112.0902551897,1798.4985351563
M,9,44.3139254674,-112.1172484383,1815.5620117188
J,10,44.3065287732,-112.08217646,1850.8901367188
