site,12T,UTM,ele
A,405150.429381044,4895275.30329,1623.7802734375
B,408386.988973632,4896797.84862803,1659.8293457031
C,407858.392292946,4901677.45882902,1692.5141601563
D,408243.328540639,4902737.86047668,1723.2761230469
E,409306.130432678,4904515.52127767,1752.115234375
F,407889.689312799,4906059.0735301,1783.8386230469
G,413015.310883727,4904571.49328412,1798.4985351563
H,410424.582605809,4903803.17488022,1755.9604492188
I,405352.412922024,4902769.33372881,1702.3674316406
J,413685.268940569,4906488.63818546,1850.8901367188
K,408432.836548934,4895055.75186399,1641.564453125
L,408313.475805889,4903321.02415828,1729.2841796875
M,410899.100520717,4907347.72946119,1815.5620117188
